path_type,relative_hour,HTT_CAP_MULTIPLIER,actual_n,recoverable_count,unrecoverable_count,incremental_recovered_paths,marginal_improvement_per_25pct_capacity,claim_scope
mixed,-16,1.00,152,0,152,0,,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-16,1.25,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-16,1.50,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-16,2.00,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-16,INF,152,0,152,0,,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-8,1.00,152,0,152,0,,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-8,1.25,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-8,1.50,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-8,2.00,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-8,INF,152,0,152,0,,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-4,1.00,152,0,152,0,,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-4,1.25,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-4,1.50,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-4,2.00,152,0,152,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
mixed,-4,INF,152,0,152,0,,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-16,1.00,203,203,0,0,,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-16,1.25,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-16,1.50,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-16,2.00,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-16,INF,203,203,0,0,,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-8,1.00,203,203,0,0,,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-8,1.25,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-8,1.50,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-8,2.00,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-8,INF,203,203,0,0,,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-4,1.00,203,203,0,0,,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-4,1.25,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-4,1.50,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-4,2.00,203,203,0,0,0,OPTIMISTIC_CAPACITY_ENVELOPE
pure_location,-4,INF,203,203,0,0,,OPTIMISTIC_CAPACITY_ENVELOPE
