record_type,path_id,surplus_site,deficit_site,potential_match_kg,actual_same_direction_HTT_over_path_kg,actual_flow_fraction_of_final_potential
surplus_to_deficit_OD,11,1,3,3.60477854145,0,0
surplus_to_deficit_OD,11,1,4,49.4752182794,0,0
surplus_to_deficit_OD,11,2,3,3.60477854145,0,0
surplus_to_deficit_OD,11,2,4,49.4752182794,2.73453065986,0.0552707144092
surplus_to_deficit_OD,16,1,4,18.9545148724,7.90774733231,0.417195976026
surplus_to_deficit_OD,16,2,4,34.369832045,0,0
surplus_to_deficit_OD,16,3,4,10.2283124277,0,0
surplus_to_deficit_OD,24,1,2,11.1824243848,0,0
surplus_to_deficit_OD,24,3,2,4.95135524091,0,0
surplus_to_deficit_OD,24,4,2,11.1824243848,0,0
surplus_to_deficit_OD,156,1,4,2.96898956958,7.97785535827,2.68706075629
surplus_to_deficit_OD,156,2,4,32.6665038588,18.8540664597,0.577168176345
surplus_to_deficit_OD,156,3,4,25.4596307196,0,0
surplus_to_deficit_OD,182,1,4,1.41822735169,0,0
surplus_to_deficit_OD,182,2,4,1.41822735169,0,0
surplus_to_deficit_OD,182,3,4,1.41822735169,0,0
surplus_to_deficit_OD,202,1,4,1.8058673584,0,0
surplus_to_deficit_OD,202,2,4,1.8058673584,31.577494484,17.4860541873
surplus_to_deficit_OD,202,3,4,1.70030607746,0,0
surplus_to_deficit_OD,216,1,3,2.1576864832,0,0
surplus_to_deficit_OD,216,1,4,1.14411334603,34.1892577645,29.8827540848
surplus_to_deficit_OD,216,2,3,2.1576864832,0,0
surplus_to_deficit_OD,216,2,4,1.14411334603,7.00740185698,6.12474444189
surplus_to_deficit_OD,230,1,4,21.4799428248,0,0
surplus_to_deficit_OD,230,2,4,26.3602408071,21.6028467506,0.819523877215
surplus_to_deficit_OD,230,3,4,0.315760840599,0,0
surplus_to_deficit_OD,285,2,1,0.448467790115,14.030251188,31.2848581263
surplus_to_deficit_OD,285,3,1,0.448467790115,17.5850683263,39.2114410754
surplus_to_deficit_OD,285,4,1,0.448467790115,2.74902045111,6.12980577804
surplus_to_deficit_OD,289,1,3,8.77135533998,0,0
surplus_to_deficit_OD,289,2,3,8.77135533998,0,0
surplus_to_deficit_OD,289,4,3,8.77135533998,0,0
surplus_to_deficit_OD,313,4,1,8.98503528339,0,0
surplus_to_deficit_OD,313,4,2,4.23432688052,0,0
surplus_to_deficit_OD,313,4,3,1.5487695484,0,0
surplus_to_deficit_OD,439,1,2,10.964019956,0,0
surplus_to_deficit_OD,439,3,2,5.0500133738,0,0
surplus_to_deficit_OD,439,4,2,10.964019956,0,0
surplus_to_deficit_OD,462,1,4,15.9242580388,11.3514862741,0.712842397202
surplus_to_deficit_OD,462,2,4,43.3033998993,0,0
surplus_to_deficit_OD,462,3,4,12.2656586743,0,0
surplus_to_deficit_OD,484,1,2,12.8920604417,11.671543089,0.905327983973
surplus_to_deficit_OD,484,3,2,4.17907465017,0,0
surplus_to_deficit_OD,484,4,2,12.8920604417,0,0
surplus_to_deficit_OD,521,2,1,3.1532797752,0,0
surplus_to_deficit_OD,521,3,1,1.41154043698,0,0
surplus_to_deficit_OD,521,4,1,3.1532797752,0,0
surplus_to_deficit_OD,550,1,4,4.72735912179,0,0
surplus_to_deficit_OD,550,2,4,4.72735912179,0,0
surplus_to_deficit_OD,550,3,4,4.72735912179,0,0
surplus_to_deficit_OD,634,2,1,10.1816965605,0,0
surplus_to_deficit_OD,634,2,3,10.8547038329,0,0
surplus_to_deficit_OD,634,4,1,10.1816965605,0,0
surplus_to_deficit_OD,634,4,3,11.2981608035,0,0
surplus_to_deficit_OD,749,2,1,2.27993059915,0,0
surplus_to_deficit_OD,749,2,4,19.3523591218,0,0
surplus_to_deficit_OD,749,3,1,2.27993059915,0,0
surplus_to_deficit_OD,749,3,4,9.52645603681,0,0
surplus_to_deficit_OD,806,1,3,19.9376965688,0,0
surplus_to_deficit_OD,806,2,3,19.9376965688,0,0
surplus_to_deficit_OD,806,4,3,19.9376965688,0,0
surplus_to_deficit_OD,889,1,3,0.451125765422,0,0
surplus_to_deficit_OD,889,2,3,0.451125765422,0,0
surplus_to_deficit_OD,889,4,3,0.451125765422,0,0
surplus_to_deficit_OD,942,1,4,2.857648461,43.8602970332,15.3483878902
surplus_to_deficit_OD,942,2,4,12.0147014038,3.21081661828,0.267240650465
surplus_to_deficit_OD,942,3,4,12.1575597952,0,0
surplus_to_deficit_OD,996,3,2,0.152263928381,0,0
surplus_to_deficit_OD,996,4,2,0.152263928381,0,0
surplus_to_deficit_OD,1159,1,3,3.74757370849,0,0
