REQUIREMENT,STATUS,CORE_RESULT,EVIDENCE_FILE,EVIDENCE_FIELDS,LIMITATION,NEEDS_NEW_OOS,CONCLUSION_LEVEL
model_policy_pmax_checkpoint_path_identity,COMPLETED,Base Stage89Q Arm-A and B0001 Pmax187.5 exploratory checkpoint identities hash-verified,source_manifest.csv; analysis_control_card.md,"role,path,bytes,sha256; Pmax text",B0001 is UNSTABLE/FAIL,NO,FACT
common_ordered_path_bank,COMPLETED,10000 ordered common path IDs and bank SHA match,identity_and_common_path_qa.csv; source_manifest.csv,"path_id, state_sequence, bank hash",No fresh holdout,NO,FACT
path_ledger_and_terminal_semantics,COMPLETED,Termination ledger closes for both arms; state/termination/target vectors match,identity_and_common_path_qa.csv; path_ledger.csv,"termination_type, stage, lf8, target fields",None for saved OOS,NO,FACT
terminal_formula_independent_recompute,COMPLETED,"sum(max(target_i-inventory_i,0)) and quantity/location decomposition pass",terminal_recompute_audit.csv,three max errors and pass,No causal counterfactual,NO,FACT
paired_statistics_and_95pct_ci,COMPLETED,"Paired means, SD, sign counts and normal 95% CIs computed",paired_kpi_with_ci.csv,"paired_diff_mean, ci95_low/high, n","Normal CI, not fresh holdout",NO,EXPLORATORY_STATISTICS
direct_gap_and_no_terminal_distribution,COMPLETED,Both arms use direct site-wise gap; terminal station-to-station delivery absent,mechanism_identifiability.csv; run-007/analysis_control_card.md,DIRECT_GAP evidence,No terminal redistribution by design,NO,FACT
zero_low_medium_high_target_groups,COMPLETED,Frozen Base-positive target tertile groups applied identically to both arms,target_group_summary.csv,"group rule, counts, gaps, classes",Retrospective tertile rule,NO,EXPLORATORY
low_target_overproduction_surplus,COMPLETED,"Low-target production, surplus and site-wise classes reported",target_group_summary.csv,"mean production,surplus,gap,class counts",No counterfactual ideal policy,NO,EXPLORATORY
high_target_guarantee,COMPLETED,"High-target site failure, quantity/location gap and adequate counts reported",target_group_summary.csv,"failure rates, gap components, classes",Guarantee means observed OOS reliability only,NO,EXPLORATORY
adequate_quantity_location_mixed,COMPLETED,All four terminal classes and paired migrations reported,terminal_type_transition.csv; new_failure_recovery_summary.csv,transition counts and deltas,No causal class transition explanation,NO,FACT
time_formation_production_inventory_gap,COMPLETED,"Hour/site production, inventory, HTT, shortage and binding timeline saved",time_formation_summary.csv,"global_hour, site fields, transition groups",Some terminated paths have no later hours,NO,EXPLORATORY
shared_prefix_wait_and_see,PARTIALLY_COMPLETED,Saved Stage89Q state histories and time traces support descriptive shared-prefix inspection,run-007/site_time_mechanism_summary.csv; time_formation_summary.csv,"state history, global_hour actions",No counterfactual policy and no stable policy,NO,MIXED
physical_recoverability,NOT_IDENTIFIABLE,No optimistic recoverability certificate generated,mechanism_identifiability.csv,fields needed/missing fields,No counterfactual future-action feasibility LP,YES,NOT_IDENTIFIABLE
four_site_pmax_utilization,COMPLETED,Observed P_EL/Pmax and binding flags by hour/site/group reported,time_formation_summary.csv,"P_EL_kW, Pmax, utilization, binding","Observed only, no relaxation counterfactual",NO,FACT
voltage_line_constraints,COMPLETED,Observed voltage and line loading fields audited by saved OOS,mechanism_identifiability.csv; source hour_system,"min_voltage_pu,max_line_loading_pct",Causal grid attribution not isolated,NO,EXPLORATORY
substation_constraint,NOT_IDENTIFIABLE,No explicit substation capacity/loading/binding field saved,mechanism_identifiability.csv,required substation fields vs root_grid_import,Root import cannot identify substation binding,YES,NOT_IDENTIFIABLE
tank_capacity_headroom,PARTIALLY_COMPLETED,Inventory and storage binding flags available; exact headroom absent,time_formation_summary.csv; mechanism_identifiability.csv,"end_inventory,storage_binding",Capacity metadata/headroom not in hourly file,NO for descriptive; YES for causal,MIXED
HTT_total_OD_direction_timing,COMPLETED,"OD, direction, global hour, inventories and shortages available",source htt CSV; mechanism_identifiability.csv,"origin,destination,flow,global_hour",No counterfactual travel/direction relaxation,NO,EXPLORATORY
site_spatial_configuration,PARTIALLY_COMPLETED,Site surplus/deficit and production-location mismatch reported,new_failure_recovery_summary.csv; target_group_summary.csv,"site inventory,surplus,target,class",No relocation/redistribution counterfactual,NO for descriptive; YES for causal,MIXED
ordinary_shortage,COMPLETED,Paired ordinary shortage means and time traces reported,paired_kpi_with_ci.csv; time_formation_summary.csv,ordinary_shortage_total/kg,No causal dispatch decomposition,NO,FACT
new_side_effects,COMPLETED,"Location/mixed failures, surplus shifts, HTT and cost side effects reported",historical_issue_status.csv; tail_and_cost_summary.csv,"status,evidence,tail metrics",Unstable policy confounder,NO,EXPLORATORY
difficult_extreme_worst_tails,COMPLETED,Retrospective Base terminal-gap tails compared with same path IDs,tail_and_cost_summary.csv,"tail rule, gap, production, inventory, cost","Retrospective, not independent holdout",NO,EXPLORATORY
actual_cost_vs_terminal_penalty,COMPLETED,Operating cost and terminal penalty separated in paired and tail tables,paired_kpi_with_ci.csv; tail_and_cost_summary.csv,"actual_operating_cost,terminal_penalty","Penalty is model loss, not physical cost",NO,FACT
historical_issue_status,COMPLETED,Issue labels include evidence and limits,historical_issue_status.csv,"issue,status,evidence,interpretation",Depends on saved OOS scope,NO,EXPLORATORY
