intensity_a,loc,lf,beta_transport_risk,gamma_transport_availability,alpha_loh_activation,is_dissipation_absorbing,is_terminal_absorbing,notes
1,1,1,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,1,2,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,1,3,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,1,4,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,1,5,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,1,6,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,1,7,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,1,8,0,1,0,1,1,a=min：消散/无风险吸收，临灾需求关闭
1,2,1,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,2,2,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,2,3,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,2,4,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,2,5,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,2,6,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,2,7,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,2,8,0,1,0,1,1,a=min：消散/无风险吸收，临灾需求关闭
1,3,1,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,3,2,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,3,3,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,3,4,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,3,5,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,3,6,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,3,7,0,1,0,1,0,a=min：消散/无风险吸收，临灾需求关闭
1,3,8,0,1,0,1,1,a=min：消散/无风险吸收，临灾需求关闭
2,1,1,0.05,0.95,0.0666666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
