road_edge_id,from_node,to_node,edge_type,from_x_km,from_y_km,to_x_km,to_y_km,edge_mid_x_km,edge_mid_y_km,length_km
1,1,2,base_feeder,12.0,16.0,16.0,16.0,14.0,16.0,4.0
2,2,3,base_feeder,16.0,16.0,20.0,16.0,18.0,16.0,4.0
3,2,19,base_feeder,16.0,16.0,18.0,12.0,17.0,14.0,4.47213595499958
4,3,4,base_feeder,20.0,16.0,22.0,16.0,21.0,16.0,2.0
5,3,19,extra_road,20.0,16.0,18.0,12.0,19.0,14.0,4.47213595499958
6,3,23,base_feeder,20.0,16.0,18.0,20.0,19.0,18.0,4.47213595499958
7,4,5,base_feeder,22.0,16.0,24.0,16.0,23.0,16.0,2.0
8,5,6,base_feeder,24.0,16.0,26.0,16.0,25.0,16.0,2.0
9,6,7,base_feeder,26.0,16.0,28.0,16.0,27.0,16.0,2.0
10,6,26,base_feeder,26.0,16.0,26.0,18.0,26.0,17.0,2.0
11,7,8,base_feeder,28.0,16.0,30.0,14.0,29.0,15.0,2.8284271247461903
12,7,28,extra_road,28.0,16.0,30.0,22.0,29.0,19.0,6.324555320336759
13,8,9,base_feeder,30.0,14.0,32.0,14.0,31.0,14.0,2.0
14,8,16,extra_road,30.0,14.0,32.0,8.0,31.0,11.0,6.324555320336759
15,9,10,base_feeder,32.0,14.0,34.0,14.0,33.0,14.0,2.0
16,10,11,base_feeder,34.0,14.0,36.0,14.0,35.0,14.0,2.0
17,10,28,extra_road,34.0,14.0,30.0,22.0,32.0,18.0,8.94427190999916
18,11,12,base_feeder,36.0,14.0,36.0,12.0,36.0,13.0,2.0
19,12,13,base_feeder,36.0,12.0,36.0,10.0,36.0,11.0,2.0
20,12,33,extra_road,36.0,12.0,38.0,24.0,37.0,18.0,12.165525060596439
21,13,14,base_feeder,36.0,10.0,34.0,10.0,35.0,10.0,2.0
22,14,15,base_feeder,34.0,10.0,34.0,8.0,34.0,9.0,2.0
23,15,16,base_feeder,34.0,8.0,32.0,8.0,33.0,8.0,2.0
24,16,17,base_feeder,32.0,8.0,32.0,6.0,32.0,7.0,2.0
25,16,20,extra_road,32.0,8.0,20.0,10.0,26.0,9.0,12.165525060596439
26,17,18,base_feeder,32.0,6.0,32.0,4.0,32.0,5.0,2.0
27,19,20,base_feeder,18.0,12.0,20.0,10.0,19.0,11.0,2.8284271247461903
28,19,24,extra_road,18.0,12.0,16.0,22.0,17.0,17.0,10.198039027185569
29,20,21,base_feeder,20.0,10.0,18.0,8.0,19.0,9.0,2.8284271247461903
30,21,22,base_feeder,18.0,8.0,14.0,6.0,16.0,7.0,4.47213595499958
31,23,24,base_feeder,18.0,20.0,16.0,22.0,17.0,21.0,2.8284271247461903
32,23,26,extra_road,18.0,20.0,26.0,18.0,22.0,19.0,8.246211251235321
33,24,25,base_feeder,16.0,22.0,14.0,24.0,15.0,23.0,2.8284271247461903
34,26,27,base_feeder,26.0,18.0,28.0,20.0,27.0,19.0,2.8284271247461903
35,27,28,base_feeder,28.0,20.0,30.0,22.0,29.0,21.0,2.8284271247461903
36,28,29,base_feeder,30.0,22.0,32.0,24.0,31.0,23.0,2.8284271247461903
37,28,33,extra_road,30.0,22.0,38.0,24.0,34.0,23.0,8.246211251235321
38,29,30,base_feeder,32.0,24.0,34.0,26.0,33.0,25.0,2.8284271247461903
39,30,31,base_feeder,34.0,26.0,36.0,26.0,35.0,26.0,2.0
40,31,32,base_feeder,36.0,26.0,38.0,28.0,37.0,27.0,2.8284271247461903
41,32,33,base_feeder,38.0,28.0,38.0,24.0,38.0,26.0,4.0
