"state","SAA","DRO","delta"
"1","0","0","0"
"2","0","0","0"
"3","0","0","0"
"4","0","0","0"
"5","0","0","0"
"6","0","0","0"
"7","0","0","0"
"8","11.455691023647818","99.23841554469887","87.78272452105105"
"9","24.54790933638818","140.46817952501127","115.92027018862308"
"10","38.458391293674815","121.37585471998354","82.91746342630873"
"11","39.27665493822109","142.9135556154492","103.63690067722811"
"12","2.863922755911955","41.595070047745956","38.731147291834"
"13","0","0","0"
"14","0","0","0"
"15","275.4820936639118","331.6752616572734","56.193167993361556"
"16","306.30335760848806","352.28372634643057","45.98036873794251"
"17","314.758748602133","355.1263747433702","40.367626141237224"
"18","312.16758039440305","367.4029865722864","55.23540617788336"
"19","189.56441098655316","260.3441354869344","70.77972450038126"
"20","65.46109156370181","151.78834986028312","86.3272582965813"
"21","0","6.137041611687732","6.137041611687732"
"22","422.7695496822406","439.816704774399","17.04715509215839"
"23","443.908027166353","451.3537284135498","7.44570124719678"
"24","449.6358726781769","455.5481518863116","5.9122792081346915"
"25","435.72539072088995","450.28993828730796","14.564547566418014"
"26","336.1699806344271","374.3556120801605","38.18563144573341"
"27","224.74974770204292","273.57222231443245","48.82247461238953"
"28","51.82336415459727","124.78930396344589","72.96593980884862"
"29","468.4559365027412","473.36605621659703","4.910119713855806"
"30","480.5935138968439","481.4119799516857","0.8184660548417924"
"31","492.8674685650382","502.6842512954943","9.816782730456055"
"32","481.9572866377548","494.7771176513959","12.819831013641078"
"33","440.63497258816767","447.9991933780075","7.3642207898398055"
"34","353.08076262171653","387.42557333560416","34.344810713887625"
"35","225.70438862068025","289.1199373292575","63.415548708577234"
