ISSUE_ID,LEVEL,QUESTION,STATUS,DENOMINATOR,BASE_VALUE,CANDIDATE_VALUE,ABSOLUTE_CHANGE,RELATIVE_CHANGE,DISTRIBUTION,AFFECTED_SCOPE,PRACTICAL_MATERIALITY,EVIDENCE,PLAIN_CONCLUSION_ZH,LIMITATION,NEXT_ACTION
IDENTITY,ENGINEERING,身份与参数,COMPLETED,1 contract,原B3 nominal,完全一致,0,0,NOT_APPLICABLE,src/config,NOT_APPLICABLE,source_manifest.csv,源码配置与历史哈希一致且参数仍为临时参数,不证明参数最优,NONE
CASE2,ENGINEERING,跨accounting边界进度,COMPLETED,2 moving rows,预期12+1分钟,实际12+1分钟,容差内0,NOT_APPLICABLE,第31分钟到达,vehicle1,NOT_APPLICABLE,key_event_ledger_rows.csv,8km进度保留且下一段仅需1分钟,给定动作序列,NONE
CASE4,ENGINEERING,已入边封闭与重规划,COMPLETED,3 edge entries,预期完成当前边再改道,edge1到达后走edge2和edge3,0,NOT_APPLICABLE,1.4入边/1.5关闭/1.6166666666666665到达,vehicle1,NOT_APPLICABLE,key_action_event_rows.csv,封闭后完成当前边且未再次进入该边,PROJECT_ASSUMPTION_FOR_B3,NONE
CASE6,ENGINEERING,Option-A逐站初始守恒,COMPLETED,4 sites,actual I_MSP,station+onboard,0kg,0,max error 0kg,BASE2-DRO path2,NOT_APPLICABLE,key_values.json,四站原始库存与站存加车载完全相等,机械选择的测试库存,NONE
CASE7,ENGINEERING,瞬时补氢,COMPLETED,1 transfer,station55.5009093832021/onboard10,station45.5009093832021/onboard20,-10kg/+10kg,NOT_APPLICABLE,duration0/total223.9312153119796kg,site2 vehicle1,NOT_APPLICABLE,key_event_ledger_rows.csv,10kg零时长转移且总量不变和未超罐,补氢速率枪数排队未建模,NONE
CASE9,ENGINEERING,服务发电与耗氢,COMPLETED,1 service and 2 moving rows,66kWh/3.6003600360036kg,66kWh/3.6003600360036003kg,0kWh/4.440892098500626e-16kg,NOT_APPLICABLE,后续13分钟P=0,vehicle1,NOT_APPLICABLE,key_values.json,18分钟服务能量正确且移动期间不发电,未验证电网需求服务效果,NONE
CASE10,ENGINEERING,共享库存不能重复消费,COMPLETED,2 refuel requests,site1原始20kg,分配后5kg且转移后1kg,-15kg初始分配和4kg补氢,NOT_APPLICABLE,第二次申请拒绝/总量80kg,site1 vehicles1+2,NOT_APPLICABLE,key_event_ledger_rows.csv,两车消费同一共享站存且不足申请不改变库存,无枪数并发约束,NONE
SCHEMA,ENGINEERING,异常值和保存粒度,COMPLETED,17 cases,3875原有检查PASS,3469独立检查PASS,NOT_APPLICABLE,NOT_APPLICABLE,max mass error2.842170943040401e-14kg,all saved events,NOT_APPLICABLE,verification_checks.csv,逐事件数值能量库存与case行数核对通过,结构性空字段不当作NaN异常,NONE
REGRESSION,ENGINEERING,B2路网回归,COMPLETED,15 retained examples,B2既有矩阵,B3保存回归,0km,0,unreachable mismatch0,B2 retained regression,NOT_APPLICABLE,W_OOS/V1/results/b3-physics-smoke/run-001/B2_C_regression.csv,保留示例与B2一致且道路语义未另加减速,本次未重建全量C,NONE
PRESERVATION,ENGINEERING,未授权修改与源身份,COMPLETED,207 source/output files,核查前SHA,核查后相同SHA,0,0,tracked hashes/untracked metadata unchanged,existing repository,NOT_APPLICABLE,source_manifest.csv,历史产物保护输入与既有dirty状态保留,未跟踪无关文件使用尺寸和mtime指纹,NONE
PROPAGATION,ENGINEERING,forward/backward参数传播,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MSP,NOT_APPLICABLE,analysis_control_card.json,本模块是确定性物理engine且未接入MSP传播链,不能声称MSP集成已完成,另行授权
SOLVER,ENGINEERING,求解和cut dual重载,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,optimizer,NOT_APPLICABLE,analysis_control_card.json,本次不含优化求解器和策略checkpoint重载,Git源码checkpoint不等于求解策略,另行授权
EVALUATOR,ENGINEERING,OOS evaluator,DEFERRED,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OOS,NOT_APPLICABLE,analysis_control_card.json,用户禁止运行OOS且需求电网evaluator未建立,不能评价灾后服务绩效,另行授权
PERFORMANCE,LEVEL2-4,性能机制最优性和独立验证,DEFERRED,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,W_OOS/ALL_OOS,NOT_APPLICABLE,analysis_control_card.json,B3仅证明保存案例的物理推进与守恒,不证明六车最优或最终参数或救援有效性,后续单独任务
