source_step,evaluation_scope,distribution_label,seed_id,decision_label,eta,inventory_increment_kg,operating_loss_reduction,gamma_break_even,positive_break_even_space,gamma_2_total_cost_not_above_SAA
C2,independent-typhoon-path-seeds,independent-path-nominal,1,ETA_0.003,0.003,4.62183570688501,13.5851969058003,2.93935089158684,True,True
C2,independent-typhoon-path-seeds,independent-path-nominal,1,ETA_0.01,0.01,17.0368707551011,45.2590999656004,2.65653831717008,True,True
C2,independent-typhoon-path-seeds,independent-path-nominal,2,ETA_0.003,0.003,4.62183570688501,8.38107109905104,1.81336413290633,True,False
C2,independent-typhoon-path-seeds,independent-path-nominal,2,ETA_0.01,0.01,17.0368707551011,27.3041467947605,1.60265034508085,True,False
C2,independent-typhoon-path-seeds,independent-path-nominal,3,ETA_0.003,0.003,4.62183570688501,4.89405487308068,1.05889849476695,True,False
C2,independent-typhoon-path-seeds,independent-path-nominal,3,ETA_0.01,0.01,17.0368707551011,23.2970535416498,1.36744909769738,True,False
C3,markov-transition-perturbation,nominal,1,ETA_0.003,0.003,4.62183570688501,12.0797009282996,2.61361538886051,True,True
C3,markov-transition-perturbation,nominal,1,ETA_0.01,0.01,17.0368707551011,27.1162832214995,1.5916234625059,True,False
C3,markov-transition-perturbation,nominal,2,ETA_0.003,0.003,4.62183570688501,8.14086415980091,1.76139193950008,True,False
C3,markov-transition-perturbation,nominal,2,ETA_0.01,0.01,17.0368707551011,27.9609014530215,1.64119936430519,True,False
C3,markov-transition-perturbation,nominal,3,ETA_0.003,0.003,4.62183570688501,7.59815482585145,1.6439690434112,True,False
C3,markov-transition-perturbation,nominal,3,ETA_0.01,0.01,17.0368707551011,23.9112318509506,1.40349904596132,True,False
C3,markov-transition-perturbation,intensity-only,1,ETA_0.003,0.003,4.62183570688501,36.1135496470997,7.81368095653042,True,True
C3,markov-transition-perturbation,intensity-only,1,ETA_0.01,0.01,17.0368707551011,102.310178127602,6.00522124034831,True,True
C3,markov-transition-perturbation,intensity-only,2,ETA_0.003,0.003,4.62183570688501,39.2281978565006,8.48757946935751,True,True
C3,markov-transition-perturbation,intensity-only,2,ETA_0.01,0.01,17.0368707551011,94.2074589579024,5.52962221244153,True,True
C3,markov-transition-perturbation,intensity-only,3,ETA_0.003,0.003,4.62183570688501,28.465689553399,6.15895747029573,True,True
C3,markov-transition-perturbation,intensity-only,3,ETA_0.01,0.01,17.0368707551011,84.5296366038019,4.96157057354518,True,True
C3,markov-transition-perturbation,location-only,1,ETA_0.003,0.003,4.62183570688501,10.6537556809999,2.30509181992976,True,True
C3,markov-transition-perturbation,location-only,1,ETA_0.01,0.01,17.0368707551011,27.1507875534007,1.5936487365364,True,False
C3,markov-transition-perturbation,location-only,2,ETA_0.003,0.003,4.62183570688501,6.71830728670102,1.45360149359982,True,False
C3,markov-transition-perturbation,location-only,2,ETA_0.01,0.01,17.0368707551011,29.7079431686016,1.74374411801572,True,False
C3,markov-transition-perturbation,location-only,3,ETA_0.003,0.003,4.62183570688501,9.58074071100054,2.07292974450139,True,True
C3,markov-transition-perturbation,location-only,3,ETA_0.01,0.01,17.0368707551011,28.223581247601,1.65661767664408,True,False
C3,markov-transition-perturbation,lfw-only,1,ETA_0.003,0.003,4.62183570688501,19.7065877307996,4.26380100474867,True,True
C3,markov-transition-perturbation,lfw-only,1,ETA_0.01,0.01,17.0368707551011,50.2800066845994,2.95124658790669,True,True
C3,markov-transition-perturbation,lfw-only,2,ETA_0.003,0.003,4.62183570688501,12.5862150209996,2.72320692885086,True,True
C3,markov-transition-perturbation,lfw-only,2,ETA_0.01,0.01,17.0368707551011,44.0875920375001,2.58777522417371,True,True
C3,markov-transition-perturbation,lfw-only,3,ETA_0.003,0.003,4.62183570688501,13.0176218759007,2.81654794793088,True,True
C3,markov-transition-perturbation,lfw-only,3,ETA_0.01,0.01,17.0368707551011,41.0599337153999,2.41006310992328,True,True
C3,markov-transition-perturbation,combined-mild,1,ETA_0.003,0.003,4.62183570688501,26.1063495181988,5.64848064142761,True,True
C3,markov-transition-perturbation,combined-mild,1,ETA_0.01,0.01,17.0368707551011,67.4386581115978,3.9583946536312,True,True
C3,markov-transition-perturbation,combined-mild,2,ETA_0.003,0.003,4.62183570688501,21.5110675454998,4.65422592011556,True,True
C3,markov-transition-perturbation,combined-mild,2,ETA_0.01,0.01,17.0368707551011,65.9381197292005,3.87031871504089,True,True
C3,markov-transition-perturbation,combined-mild,3,ETA_0.003,0.003,4.62183570688501,21.565881754701,4.66608575518488,True,True
C3,markov-transition-perturbation,combined-mild,3,ETA_0.01,0.01,17.0368707551011,57.9243865271019,3.39994282751476,True,True
C3,markov-transition-perturbation,combined-medium,1,ETA_0.003,0.003,4.62183570688501,42.9672816060993,9.29658350730473,True,True
C3,markov-transition-perturbation,combined-medium,1,ETA_0.01,0.01,17.0368707551011,127.978349278299,7.51184599084786,True,True
C3,markov-transition-perturbation,combined-medium,2,ETA_0.003,0.003,4.62183570688501,38.2043888471017,8.26606380451597,True,True
C3,markov-transition-perturbation,combined-medium,2,ETA_0.01,0.01,17.0368707551011,115.117269852999,6.75694917850635,True,True
C3,markov-transition-perturbation,combined-medium,3,ETA_0.003,0.003,4.62183570688501,36.270701164598,7.84768292619459,True,True
C3,markov-transition-perturbation,combined-medium,3,ETA_0.01,0.01,17.0368707551011,109.946531988899,6.45344638515727,True,True
C3,markov-transition-perturbation,combined-strong,1,ETA_0.003,0.003,4.62183570688501,78.1537825266059,16.9096842646706,True,True
C3,markov-transition-perturbation,combined-strong,1,ETA_0.01,0.01,17.0368707551011,220.234851990703,12.9269544364397,True,True
C3,markov-transition-perturbation,combined-strong,2,ETA_0.003,0.003,4.62183570688501,69.0280992327971,14.9352126753376,True,True
C3,markov-transition-perturbation,combined-strong,2,ETA_0.01,0.01,17.0368707551011,188.236818354897,11.0487906529746,True,True
