parameter_name,symbol,current_value,code_unit,source_path,function_or_field,exact_line_or_field,effective_call_chain,objective_entry,parameter_type,explicit_source_description,real_currency_interpretation,audit_conclusion,risk_note
offline TerminalLOH preload coefficient,gamma,2.0,objective-unit/kg,terminalLoh_wdro/src/recover_step03Y_prefix_entries_h2.m,recover_step03Y_prefix_entries_h2,terminalLoh_wdro/src/recover_step03Y_prefix_entries_h2.m:192,MAT M -> context.gamma=0.001*M -> C1 prepared input -> fixed-T full objective,terminalLoh_wdro/src/evaluate_step03T_fixed_T_recourse_h2.m:107,derived model trade-off weight,README explicitly calls gamma a configurable holding weight,No: the offline objective mixes km*kg service impedance with the declared yuan shortage field,2 means 0.001 times the effective shortage penalty and discourages capacity filling; it is not MSP production cost,terminalLoh_wdro/docs/README_WDRO_preview.md:125
reserve hydrogen shortage penalty,M,2000.0,declared yuan/kg in MAT field,data/yuanqi/near_stage_msp_input.mat,NearStageInput.Cost,reserve_shortage_penalty_yuan_per_kg,MAT field -> recovery/build context -> M*u in formal recourse,terminalLoh_wdro/src/evaluate_step03T_fixed_T_recourse_h2.m:105,engineering penalty / effective model weight,Field name declares yuan/kg; no calibration reference was found,"Field is monetary-labelled, but the combined offline objective is not dimensionally monetary",Effective value is 2000; evidence does not establish it as calibrated outage loss or VOLL,"Fallback 2000 exists, but the live MAT field is present and therefore wins"
formal service impedance,"C_i,n^tau",scenario dependent,km,terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m,road_state / Cperiod,terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m:125,road length and slowing -> shortest-path distance -> C*y,terminalLoh_wdro/src/evaluate_step03T_fixed_T_recourse_h2.m:91,physical impedance proxy,C is current-road-state shortest-path distance,No: no yuan/(kg*km) multiplier enters the offline recourse,"This term is kg*km service impedance, not the MSP HTT transport bill","Adding this term to M*kg creates an intentionally weighted, not currency-consistent, objective"
grid load used by formal D,P_load_base,sum=3715,kW,data/yuanqi/near_stage_msp_input.mat,NearStageInput.Grid,P_load_base_kw,MAT grid load -> consequence model.Pnode_kW -> one-hour D,terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m:114,physical parameter,IEEE-33 base active-load vector stored in MAT,Not a cost,"Formal C1/C2/C3 D uses the full base-load vector, not the critical-load template",Source node is forced not-outaged in the consequence generator
fuel-cell efficiency,eta_FC,0.55,dimensionless,data/yuanqi/near_stage_msp_input.mat,NearStageInput.HydrogenDevice,eta_FC,MAT -> DFactor=1/(eta_FC*LHV) -> D,terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m:214,physical parameter,Named field and active call chain exist,Not a cost,May be used for repository-internal kg-H2 to kWh equivalence,No external efficiency was introduced
hydrogen lower heating value,LHV_H2,33.33,kWh/kg,data/yuanqi/near_stage_msp_input.mat,NearStageInput.HydrogenDevice,h2_lhv_kWh_per_kg,MAT -> DFactor=1/(eta_FC*LHV) -> D,terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m:214,physical parameter,Named field and active call chain exist,Not a cost,Together with eta_FC gives 18.3315 modeled kWh per kg H2,No external heating value was introduced
formal consequence period duration,Delta_tau,1 each; 3 periods,h,terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m,generate_step04CA2_formal_consequences_h2,terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m:86,One-hour D factor is applied once in each of three frozen periods,terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m:114,physical/time convention,Frozen Step-03Y/04C formal consequence convention,Not a cost,Formal C1/C2/C3 consequence horizon is three one-hour periods,Do not substitute the separate near-stage MSP default dt=6 h
electrolyzer conversion,k_H2,0.0195,kg/kWh,data/yuanqi/near_stage_msp_input.mat,NearStageInput.HydrogenDevice,k_H2_kg_per_kWh,MAT -> load_data_h2_near -> stage hydrogen balance,fa_h2/build_stage_model_h2.m:78,physical/engineering parameter,Active in MSP static model,Not itself a cost,"Used only by MSP production balance, not offline gamma",eta_EL is loaded separately but k_H2 is the coefficient actually used in the balance
electrolyzer efficiency,eta_EL,0.65,dimensionless,data/yuanqi/near_stage_msp_input.mat,NearStageInput.HydrogenDevice,eta_EL,MAT -> load_data_h2_near params.eta_EL,load_data_h2_near.m:189,physical/engineering parameter,Loaded into MSP params,Not a cost,No direct occurrence in the stage objective or balance beyond the separately supplied k_H2 was found,Potential duplicated conversion semantics require engineering documentation
MSP electricity price,c_elec(t),min=0.3; max=0.98,yuan/kWh,data/yuanqi/near_stage_msp_input.mat,NearStageInput.Cost,electricity_price_yuan_per_kWh,MAT -> stage-average price -> electricity objective coefficient,fa_h2/build_stage_model_h2.m:36,engineering cost,Monetary field and active MSP objective chain exist,Yes within MSP model units,Not included in offline gamma=2,No external price-source citation was found
