candidate,stage,hour_in_stage,global_hour,Vmin_pu,critical_bus,bus18_voltage_pu,voltage_binding,max_line_mva,critical_line,line_utilization,branch_binding,substation_import_kW,substation_utilization,substation_binding,HTT_kg,HTT_capacity_kg,HTT_utilization
ARM-B1011,1,1,1,0.908954710121679,18,0.908954710121679,0,4.22462529409445,1,0.704104215682408,0,3821.50103,0.782528423087398,0,0,160,0
ARM-B1011,1,2,2,0.912952261453486,18,0.912952261453486,0,4.02837848684774,1,0.671396414474623,0,3653.5013,0.748127133446503,0,0,160,0
ARM-B1011,1,3,3,0.914257201494073,18,0.914257201494073,0,3.96415925753693,1,0.660693209589489,0,3598.500725,0.736864670637838,0,0,160,0
ARM-B1011,1,4,4,0.915583940825374,18,0.915583940825374,0,3.89878912675848,1,0.64979818779308,0,3542.500815,0.725397574090873,0,0,160,0
ARM-B1011,1,5,5,0.916388517712098,18,0.916388517712098,0,3.8591086154956,1,0.643184769249267,0,3508.501135,0.718435462667374,0,0,160,0
ARM-B1011,1,6,6,0.918231668547988,18,0.918231668547988,0,3.7681004236468,1,0.628016737274467,0,3430.500995,0.702463380996943,0,0,160,0
ARM-B1011,1,7,7,0.938481704909199,33,0.941007365023203,0,3.38688000306032,1,0.564480000510053,0,3024.501085,0.619326815848372,0,0,160,0
ARM-B1011,1,8,8,0.941266987498855,18,0.941266987498855,0,3.09324246019531,1,0.515540410032552,0,2630.000815,0.538545030950972,0,0,160,0
ARM-B1011,2,1,9,0.933695183382614,18,0.933695183382614,0,3.49001019097837,1,0.581668365163062,0,2964.025855,0.606943308426487,0,0,160,0
ARM-B1011,2,2,10,0.934506838151662,18,0.934506838151662,0,3.47082660621506,1,0.578471101035844,0,2941.413855,0.602313051215002,0,0,160,0
ARM-B1011,2,3,11,0.932348215697739,18,0.932348215697739,0,3.62045027682417,1,0.603408379470696,0,3057.01027,0.625983718744433,0,0,160,0
ARM-B1011,2,4,12,0.932029559840564,18,0.932029559840564,0,3.69865614117145,1,0.616442690195241,0,3105.46369,0.635905521211091,0,0,160,0
ARM-B1011,2,5,13,0.931940611513906,33,0.932031097678759,0,3.73411946633581,1,0.622353244389301,0,3125.218,0.639950609497638,0,0,160,0
ARM-B1011,2,6,14,0.93136217871749,33,0.932999291691874,0,3.77598811848273,1,0.629331353080456,0,3133.996105,0.641748101271007,0,0,160,0
ARM-B1011,2,7,15,0.934351791079408,33,0.93679221777158,0,3.62379850356587,1,0.603966417260978,0,2992.5332,0.612780754904751,0,0,160,0
ARM-B1011,2,8,16,0.933579509550005,33,0.93526856944726,0,3.65900271030544,1,0.609833785050907,0,3035.0684,0.621490683992931,0,0,160,0
ARM-B1011,3,1,17,0.933475249017343,33,0.934353864330492,0,3.65851472983338,1,0.60975245497223,0,3048.55112,0.624251539357801,0,0,160,0
ARM-B1011,3,2,18,0.934719750392014,18,0.934719750392014,0,3.5648728686945,1,0.594145478115749,0,2990.98147,0.612463007291857,0,0,160,0
ARM-B1011,3,3,19,0.929315773171461,18,0.929315773171461,0,3.74073835966949,1,0.623456393278249,0,3168.77041,0.648868832586265,0,0,160,0
ARM-B1011,3,4,20,0.918067572956939,18,0.918067572956939,0,4.26349874969047,1,0.710583124948412,0,3625.00041,0.742291008758009,0,0,160,0
ARM-B1011,3,5,21,0.915940163768486,18,0.915940163768486,0,4.36935063825278,1,0.728225106375464,0,3715,0.760720216728473,0,0,160,0
ARM-B1011,3,6,22,0.918067572956939,18,0.918067572956939,0,4.26349874969047,1,0.710583124948412,0,3625.00041,0.742291008758009,0,0,160,0
ARM-B1011,3,7,23,0.919105863079785,18,0.919105863079785,0,4.211748160731,1,0.701958026788501,0,3580.99995,0.733281038511077,0,0,160,0
ARM-B1011,3,8,24,0.910990781789388,18,0.910990781789388,0,4.54848283960093,1,0.758080473266822,0,4063.5004,0.832082612372607,0,0,160,0
ARM-B1011,4,1,25,0.934819904639515,18,0.934819904639515,0,3.42138506247874,1,0.570230843746456,0,2909.00103,0.595675879947497,0,0,160,0
ARM-B1011,4,2,26,0.938707313677102,18,0.938707313677102,0,3.22379428791567,1,0.537299047985945,0,2741.0013,0.561274590306602,0,0,160,0
ARM-B1011,4,3,27,0.939976499462418,18,0.939976499462418,0,3.15910605171634,1,0.526517675286056,0,2686.000725,0.550012127497937,0,0,160,0
ARM-B1011,4,4,28,0.941266987498855,18,0.941266987498855,0,3.09324246019531,1,0.515540410032552,0,2630.000815,0.538545030950972,0,0,160,0
ARM-B1011,4,5,29,0.942049629506017,18,0.942049629506017,0,3.05325416315402,1,0.508875693859004,0,2596.001135,0.531582919527473,0,0,160,0
ARM-B1011,4,6,30,0.943842670248739,18,0.943842670248739,0,2.96151527715327,1,0.493585879525545,0,2518.000995,0.515610837857042,0,0,160,0
ARM-B1011,4,7,31,0.945127879387662,18,0.945127879387662,0,2.89565168563225,1,0.482608614272041,0,2462.001085,0.504143741310077,0,0,160,0
ARM-B1011,4,8,32,0.941266987498855,18,0.941266987498855,0,3.09324246019531,1,0.515540410032552,0,2630.000815,0.538545030950972,0,0,160,0
ARM-B1011,5,1,33,0.933695183382614,18,0.933695183382614,0,3.49001019097837,1,0.581668365163062,0,2964.025855,0.606943308426487,0,0,160,0
