state_id,value_yuan,mode,redistribution_kg,shipping_cost_yuan,residual_gap_kg,K160_binding,dual_capacity,dual_inventory_site1,dual_inventory_site2,dual_inventory_site3,dual_inventory_site4
63,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
71,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
79,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
87,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
95,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
103,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
111,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
119,151.284308791542,TERMINAL_REDISTRIBUTION,5.68863150141956,151.284308791542,0,0,0,0,0,0,-26.5941481275048
127,185.282309358142,TERMINAL_REDISTRIBUTION,6.77945909853527,185.282309358142,0,0,0,0,0,0,-27.3299545974358
135,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
143,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
151,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
159,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
167,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
175,127892.456081323,TERMINAL_REDISTRIBUTION,27.0532632083817,875.158809989492,127.017297271333,0,0,-1000,-969.30635868288,-963.779463001809,-1000
183,148262.860550053,TERMINAL_REDISTRIBUTION,14.2346404794383,484.976963143968,147.777883586909,0,0,-1000,-968.202648977983,-962.477012185093,-1000
191,139083.130812369,TERMINAL_REDISTRIBUTION,5.65058127433753,64.6813966214453,139.018449415748,0,0,-1000,-1000,-988.553142857143,-1000
199,176114.0456307,TERMINAL_REDISTRIBUTION,0,0,176.1140456307,0,0,-1000,-1000,-1000,-1000
207,70283.2847121023,TERMINAL_REDISTRIBUTION,28.6673273701891,1090.03435266447,69.1932503594378,0,0,-1000,-963.222315651843,-956.900455523495,-998.330795788549
215,655.79279713204,TERMINAL_REDISTRIBUTION,15.824707238518,655.79279713204,0,0,0,-44.4544702759164,0,0,-6.04630799739807
223,0,TERMINAL_REDISTRIBUTION,0,0,0,0,0,0,0,0,0
231,280956.553406907,TERMINAL_REDISTRIBUTION,0,0,280.956553406907,0,0,-1000,-1000,-1000,-1000
239,295309.381887736,TERMINAL_REDISTRIBUTION,0,0,295.309381887736,0,0,-1000,-1000,-1000,-1000
247,304580.482514655,TERMINAL_REDISTRIBUTION,0,0,304.580482514655,0,0,-1000,-1000,-1000,-1000
255,299183.906486011,TERMINAL_REDISTRIBUTION,0,0,299.183906486011,0,0,-1000,-1000,-1000,-1000
263,207751.853423599,TERMINAL_REDISTRIBUTION,0,0,207.751853423599,0,0,-1000,-1000,-1000,-1000
271,86571.4165398146,TERMINAL_REDISTRIBUTION,39.2375564903112,1739.74156182097,84.8316749779936,0,0,-1000,-955.844756216734,-948.254738517729,-997.995955422779
279,372.241852480606,TERMINAL_REDISTRIBUTION,8.04531036226358,372.241852480606,0,0,0,-46.2681780713646,0,0,0
287,325458.546832437,TERMINAL_REDISTRIBUTION,0,0,325.458546832437,0,0,-1000,-1000,-1000,-1000
295,338946.994922323,TERMINAL_REDISTRIBUTION,0,0,338.946994922323,0,0,-1000,-1000,-1000,-1000
303,384220.71381473,TERMINAL_REDISTRIBUTION,0,0,384.22071381473,0,0,-1000,-1000,-1000,-1000
311,363701.502026476,TERMINAL_REDISTRIBUTION,0,0,363.701502026476,0,0,-1000,-1000,-1000,-1000
319,298109.828341891,TERMINAL_REDISTRIBUTION,0,0,298.109828341891,0,0,-1000,-1000,-1000,-1000
327,220628.12539397,TERMINAL_REDISTRIBUTION,5.77775677845428,326.78425339301,220.301341140577,0,0,-1000,-951.909791429512,-943.25035727167,-1000
335,101259.650025602,TERMINAL_REDISTRIBUTION,40.145825134458,2147.44499348065,99.1122050321211,0,0,-1000,-938.705737645689,-938.705737645689,-988.635462391004
