"check","observed","expected","pass","evidence"
"checkpoint_load_count","1","1","1","load is called exactly once in this process"
"required_checkpoint_variables","checkpoint_metadata,modelLib,opts,params,policy,rng_state,state","checkpoint_metadata,modelLib,opts,params,policy,rng_state,state","1","top-level checkpoint structure"
"stage_identity","89Q","89Q","1","checkpoint metadata"
"arm_identity","Arm-A","Arm-A","1","checkpoint metadata"
"terminal_gap_penalty","1000","1000","1","checkpoint metadata"
"ordinary_shortage_penalty","200","200","1","checkpoint metadata"
"training_seed_metadata","20260513","20260513","1","checkpoint metadata"
"training_seed_options","20260513","20260513","1","checkpoint options"
"completed_iterations","346","346","1","checkpoint metadata"
"state_LB_length","346","346","1","checkpoint state"
"final_LB_identity","57955.8974092764","57955.8974092764","1","state versus metadata"
"cumulative_cuts_metadata","363646","363646","1","checkpoint metadata"
"fresh_initial_cut_count","0","0","1","checkpoint metadata"
"warm_start_checkpoint","NONE","NONE","1","checkpoint metadata"
"source_freeze_commit","cfa789f262b323de1775e5e2376a2d23978753ef","cfa789f262b323de1775e5e2376a2d23978753ef","1","checkpoint metadata"
"terminal_table_sha256","2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8","2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8","1","Stage89K DRO table"
"eta","0.03","0.03","1","checkpoint metadata"
"model_schema","hourly-h2-hourly-htt-v1","hourly-h2-hourly-htt-v1","1","checkpoint metadata"
"params_penalty","1000","1000","1","checkpoint params"
"params_runtime","48","48","1","six operating stages by eight hours"
"params_initial_loc","4","4","1","checkpoint params"
"params_site4_tank","200","200","1","checkpoint params"
"params_site4_pmax","150","150","1","checkpoint params"
"state_x_shape","[4 8]","[4 8]","1","checkpoint state"
"state_theta_shape","[8 1]","[8 1]","1","checkpoint state"
"state_values_finite","true","true","1","checkpoint state"
"operating_model_count","1051",">0","1","nonempty Stage1-6 modelLib cells"
"model_structure_complete","true","true","1","hourly grid/H2/HTT flags, indices, dimensions"
"recomputed_cut_count","363646","363646","1","sum of rows beyond immutable base models"
"all_cut_coefficients_finite","true","true","1","all persisted cut x/theta/RHS coefficients"
"all_cuts_state_theta_only","true","true","1","no persisted cut coefficient outside x/theta"
"all_cut_theta_coefficients","true","true","1","theta coefficient equals -1"
"minimal_solve_status","OPTIMAL","OPTIMAL_OR_NORMAL","1","one read-only Stage1 policy solve"
"minimal_solve_stage1_production_kg","113.88","113.88","1","same frozen policy and initial state"
"minimal_solve_eq_residual","2.27373675443232e-13","<=1e-6","1","one read-only Stage1 solve"
"minimal_solve_ineq_violation","0","<=1e-6","1","one read-only Stage1 solve"
"model_rows_unchanged","true","true","1","no training or cut mutation"
"checkpoint_sha256_external","b6533668ace2ec418f0cab9879aac3b2dc6c422ab5f9e078ad622cb29059328f","64 lowercase hex","1","computed by PowerShell before MATLAB launch"
"matlab_internal_recovery_audit","true","true","1","all MATLAB-side identity, structure, cut, and solve checks"
"run002_save_returned_before_teardown","True","true","True","checkpoint timestamp precedes summary and finish marker; TRAIN_FINISHED status exists"
"checkpoint_size_bytes","332032355","332032355","True","external filesystem metadata"
"checkpoint_sha256","b6533668ace2ec418f0cab9879aac3b2dc6c422ab5f9e078ad622cb29059328f","64 lowercase hex","True","external PowerShell Get-FileHash before MATLAB load"
"matlab_exit_code","0","0","True","fresh recovery MATLAB process"
"live_solver_process_count_after_recovery","0","0","True","EXITED_STALE_PROCESS_OBJECT excluded by explicit live-resource gate"
"RUN002_PENALTY1000_CHECKPOINT","ACCEPTED_FOR_TESTING","ACCEPTED_FOR_TESTING","True","post-restart validated recovery; not a run-002 clean-exit claim"
