file,line/function,symbol,role,active_in_current_call_chain,source_of_truth,derived_copy,hardcoded,needs_override,needs_validation,notes
audit_stage89d_single_factor_checkpoints_h2.m,5,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'89D-terminal-gap-penalty-2000-1500-1000-sensitivity', 'run-001');"
audit_stage89d_single_factor_checkpoints_h2.m,11,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"penalties = [1500, 1000];"
audit_stage89e_stage1_production_source_h2.m,46,300,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"assert(isequal(p.el_cap_kw(:).', [300 200 120 150]), ..."
audit_stage89e_stage1_production_source_h2.m,47,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'Stage89E:UnexpectedPmax', 'Unexpected electrolyzer Pmax vector.');"
audit_stage89e_stage1_production_source_h2.m,48,300,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"assert(isequal(p.x_cap(:).', [300 200 100 200]), ..."
audit_stage89e_stage1_production_source_h2.m,50,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"assert(p.cost_reserve_shortage == 2000, ..."
audit_stage89e_stage1_production_source_h2.m,51,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'Stage89E:UnexpectedPenalty', 'Stage89C penalty is not 2000.');"
audit_stage89e_stage1_production_source_h2.m,55,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"hasHourlyVariables = isfield(stage1Model.idx, 'p_el_hourly');"
audit_stage89e_stage1_production_source_h2.m,66,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,pEl = priorHourly.p_el_kw(active); pEl = pEl(order);
audit_stage89e_stage1_production_source_h2.m,88,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'Stage89E:NotAtPmax', 'One or more Stage1 P_EL bounds are not binding.');"
audit_stage89e_stage1_production_source_h2.m,91,120,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"assert(abs(systemEightHourCap - 120.12) < tol, ..."
audit_stage89e_stage1_production_source_h2.m,92,120,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'Stage89E:EightHourTheory', 'Theoretical 8 h total is not 120.12 kg.');"
audit_stage89e_stage1_production_source_h2.m,114,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"pEl = zeros(0,1); h2 = zeros(0,1); pmax = zeros(0,1);"
audit_stage89e_stage1_production_source_h2.m,122,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"pmax(end+1,1) = p.el_cap_kw(i); activeDt(end+1,1) = p.dt_h; %#ok<AGROW>"
audit_stage89e_stage1_production_source_h2.m,131,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"pmax(end+1,1) = sum(p.el_cap_kw); activeDt(end+1,1) = p.dt_h;"
audit_stage89e_stage1_production_source_h2.m,142,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"pmax(end+1,1) = p.el_cap_kw(i); activeDt(end+1,1) = p.dt_h; %#ok<AGROW>"
audit_stage89e_stage1_production_source_h2.m,149,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"tbl = table(recordType, hour, site, pEl, h2, pmax, activeDt, activeCap, ..."
audit_stage89e_stage1_production_source_h2.m,151,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"{'record_type','hour','site','p_el_kw','h2_production_kg','pmax_kw', ..."
audit_stage89e_stage1_production_source_h2.m,153,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'p_el_cap_slack_kw','h2_cap_slack_kg','data_status'});"
