profile_id,global_hour,occurrence_count,realized_pel1_kw,realized_pel2_kw,realized_pel3_kw,realized_pel4_kw,current_remaining_base_headroom_kw,candidate_nameplate_increment_kw,total_increment_needed_to_candidate_kw,solver_success,max_additional_hosting_kw,requested_additional_kw,hosting_ratio,full_hostable,min_voltage_pu,max_voltage_pu,voltage_margin_pu,critical_bus,max_true_s_mva,max_true_s_utilization,critical_branch_id,critical_branch_from,critical_branch_to,max_octagon_utilization,voltage_limited_flag,branch_limited_flag,substation_limited_flag,unclassified_limited_flag,root_grid_import_kw,root_reactive_import_kvar,pv_used_kw,max_p_balance_error_kw,max_q_balance_error_kvar,max_voltage_drop_error,slack_voltage_error,max_octagon_violation_kva,true_circle_violation_mva,max_additional_site4_hosting_kw,max_new_pel4_kw,plus_37p5_from_realized_hostable,S4_FULL_INCREMENT_HOSTABLE
1,1,10000,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.911529629612,1,0.0115296296119,18,4.12988724534,0.68831454089,1,1,2,0.703818310359,False,False,False,False,3716.50103,1800.9966,0,2.0605739337e-13,2.41584530158e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
2,2,10000,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.915515937765,1,0.0155159377646,18,3.93339839837,0.655566399728,1,1,2,0.669120361452,False,False,False,False,3548.5013,1696.986,0,2.98427949019e-13,8.881784197e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
3,3,10000,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.916817228837,1,0.0168172288367,18,3.86909530341,0.644849217235,1,1,2,0.657760776879,False,False,False,False,3493.500725,1662.9345,0,2.27373675443e-13,1.4921397451e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
4,4,10000,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.918140268862,1,0.0181402688616,18,3.80363727027,0.633939545045,1,1,2,0.646194793909,False,False,False,False,3437.500815,1628.2643,0,2.13162820728e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
5,5,10000,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.918942607567,1,0.0189426075673,18,3.76390210657,0.627317017762,1,1,2,0.63917264477,False,False,False,False,3403.501135,1607.2147,0,2.98427949019e-13,1.84741111298e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
6,6,10000,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.920780645829,1,0.0207806458285,18,3.6727647071,0.612127451184,1,1,2,0.623062827971,False,False,False,False,3325.500995,1558.9239,0,1.7763568394e-13,1.10134124043e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
7,7,10000,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.922097999101,1,0.0220979991009,18,3.60735175534,0.601225292557,1,1,2,0.611496845002,False,False,False,False,3269.501085,1524.2537,0,2.55795384874e-13,6.03961325396e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
8,8,10000,300,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.935040296279,1,0.0350402962792,33,3.51710903473,0.586184839122,1,1,2,0.605375227791,False,False,False,False,3117.500815,1628.2643,0,1.42108547152e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
9,9,6231,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.928703574058,1,0.0287035740578,33,3.65059407203,0.608432345339,1,1,2,0.637040730675,False,False,False,False,3151.525855,1842.4771,11.9752,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
10,9,1820,0,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.928703574058,1,0.0287035740578,33,3.65059407203,0.608432345339,1,1,2,0.637040730675,False,False,False,False,3151.525855,1842.4771,11.9752,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
11,9,86,156.244618703,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.928089092918,1,0.0280890929176,33,3.78629995784,0.631049992973,1,1,2,0.656971473,False,False,False,False,3307.7704737,1842.4771,11.9752,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
12,9,196,161.268431356,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.928069328442,1,0.0280693284419,33,3.79068962693,0.631781604489,1,1,2,0.65761231629,False,False,False,False,3312.79428636,1842.4771,11.9752,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
13,9,589,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.910376134915,1,0.0103761349146,18,4.19751463833,0.699585773054,1,1,2,0.716128640029,False,False,False,False,3771.525855,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
14,10,8333,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.929116358601,1,0.0291163586013,33,3.63109126518,0.605181877529,1,1,2,0.634156318085,False,False,False,False,3128.913855,1842.4771,34.5872,1.56319401867e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
15,10,589,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.911208561254,1,0.0112085612539,18,4.1772092306,0.696201538434,1,1,2,0.713244227439,False,False,False,False,3748.913855,1842.4771,34.5872,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
16,11,8333,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.926349920801,1,0.0263499208009,33,3.78010519803,0.630017533006,1,1,2,0.661300910515,False,False,False,False,3244.51027,1939.6774,75.9904,3.41060513165e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
17,11,589,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.908994613221,1,0.00899461322104,18,4.32397826579,0.720663044298,1,1,2,0.740388819869,False,False,False,False,3864.51027,1939.6774,75.9904,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
18,12,8333,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.924995049914,1,0.0249950499137,33,3.85742950478,0.642904917464,1,1,2,0.676326824964,False,False,False,False,3292.96369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
