"child_version","parent_version","relationship_type","inherited_components","changed_components","evidence","confidence"
"W02","W01","MODEL_INHERITANCE","W1-W3 preview","D/A/C sample definitions","W3 B1/B2 README files","MEDIUM"
"W03","W02","DATA_REBUILD","W consequence pipeline","bounded and stagewise random wind","git commits 92c3b8b/e162ac3/ca9f4a4","MEDIUM"
"W04","W03","DATA_REBUILD","stagewise random wind","formal B3 freeze and manifests","git commits ca9f4a4/473a0d0","HIGH"
"W05","W04","MODEL_INHERITANCE","formal B3 consequences","three-period representation and corrected D scale","results/37 and results/40 READMEs; git log","HIGH"
"W06","W05","DIRECT_SUCCESSOR","finite consequence support","probability ambiguity instead of ground metric","Step04A commit and README","HIGH"
"W07","W06","DIRECT_SUCCESSOR","probability ambiguity","flat Pearson chi-square production solver","Step04B commit 920bc89","HIGH"
"W08","W07","MODEL_INHERITANCE","Pearson solver","unified fixed-T economics","C5B commit 309639d","HIGH"
"W09","W08","DIAGNOSTIC_ONLY","unified objective","eta sweep only","C5C commit 6840dcc","HIGH"
"W10","W08","DATA_REBUILD","unified economics","35-state SAA tables","Stage53 README and commit eb83882","HIGH"
"W10","W09","PARAMETER_SENSITIVITY","eta-response conclusion","eta=.03 table","Stage53 README and log","HIGH"
"M01","M00","RUNNER_INHERITANCE","legacy native main","safe smoke wrapper","Stage55 README","HIGH"
"M01","W10","MODEL_INHERITANCE","Stage53 lookup interface","no table generation","Stage55 README","HIGH"
"M02","M01","DIRECT_SUCCESSOR","safe native smoke","dual SAA/DRO loader","Stage56 README","HIGH"
"M03","M02","RUNNER_INHERITANCE","dual lookup","fixed-budget A/B training","Stage57 README and log","HIGH"
"M04","M03","PARAMETER_SENSITIVITY","legacy model","6h/8h effective capacity","Stage71 README","MEDIUM"
"M05","M03","PARAMETER_SENSITIVITY","legacy model","HTT transport cost","Stage73 README","MEDIUM"
"M06","M00","MODEL_INHERITANCE","legacy MSP state and stages","8-slot IEEE33 LinDistFlow","Stage79 README and commit 15a47f7","HIGH"
