"version_id","version_name","category","approx_date","parent_version","parent_confidence","based_on_evidence","purpose","problem_being_solved","main_changes","model_structure_change","parameter_change","data_change","runner_change","checkpoint_change","oos_change","terminal_loh_change","capacity_change","key_functions_added","key_files","input_source","output_path","key_result","status","accepted_or_not","superseded_by","still_reusable_parts","current_relevance","evidence_paths","notes"
"W00","legacy wind_mc-roadSoft-RiskCap-Mean","W_MODEL","pre-2026-07","UNCERTAIN","LOW","legacy paths and log","early W consequence modeling","represent wind-road-grid risk","legacy wind_mc roadSoft RiskCap-Mean","YES legacy structure","YES legacy settings","YES legacy samples","UNCERTAIN","N/A","N/A","YES legacy objective","NO","UNCERTAIN","terminalLoh_wdro/","legacy W inputs","historical outputs","established early W prototype","SUPERSEDED","NO","W02","conceptual W1-W3 decomposition","historical only","terminalLoh_wdro/; codex_rule/log.md","Parent cannot be proven from current artifacts"
"W01","Stage1 check and W3 lookahead preview","W_DIAGNOSTIC","2026-07","W00","MEDIUM","docs and checks paths","validate W state/check pipeline","early W implementation uncertainty","added stage checks and lookahead preview","NO","NO","YES preview data","YES checks","N/A","N/A","NO","NO","stage1_check; lookahead helpers","terminalLoh_wdro/checks/stage1_check; terminalLoh_wdro/docs","legacy W config","checks/stage1_check","validated preview mechanics","HISTORICAL","NO","W02","check ideas","historical evidence","terminalLoh_wdro/checks/stage1_check/README_stage1_check.md; terminalLoh_wdro/docs/README_lookahead_W3_path_generation.md","Not a formal bank"
"W02","W3 B1-B2 D-A-C samples","W_DATA_MODEL","2026-07","W01","MEDIUM","README names and log","create post-landfall consequence samples","missing D/A/C representation","introduced W3 B1/B2 D/A/C sample variants","YES D/A/C representation","YES R/sample settings","YES consequence samples","YES generation scripts","N/A","N/A","YES early TerminalLOH inputs","NO","UNCERTAIN","terminalLoh_wdro/docs/README_lookahead_W3_B1_DAC_samples.md; README_lookahead_W3_B2_DAC_samples_R200.md","W3 samples","historical W outputs","enabled D/A/C experiments","HISTORICAL","NO","W03","D/A/C concepts","method history","terminalLoh_wdro/docs/README_lookahead_W3_B1_DAC_samples.md; terminalLoh_wdro/docs/README_lookahead_W3_B2_DAC_samples_R200.md","Exact B1/B2 parent ordering partly uncertain"
"W03","Stage2B bounded-stagewise random wind","W_DATA_MODEL","2026-07-24","W02","MEDIUM","git commits 92c3b8b/e162ac3/ca9f4a4","replace deterministic wind sensitivity","wind randomness realism","bounded then stagewise-random wind","YES wind process","YES wind bounds","YES random samples","YES generation","N/A","N/A","INDIRECT","NO","random-wind generators","terminalLoh_wdro; results/07-09","B2 D/A/C","results/task-002-stage2b-b3-smoke/07-09*","accepted stagewise random concept","HISTORICAL","YES historically","W04","random wind definitions","historical provenance","git log; results/task-002-stage2b-b3-smoke/07-a6-bounded-random-wind; 08-stagewise-random-wind","Stage number alone not used"
"W04","Stage3I formal stagewise-random B3 freeze","W_DATA","2026-07-24","W03","HIGH","git commits 473a0d0 and ca9f4a4","freeze WDRO inputs","unstable candidate data identity","formal B3 dataset freeze","NO","NO","YES frozen B3","YES freeze tooling","N/A","N/A","YES WDRO input","NO","freeze scripts/manifests","results/09-formal-stagewise-random-b3; 10-wdro-input-freeze","stagewise random B3","results/task-002-stage2b-b3-smoke/09-formal-stagewise-random-b3","formalized early WDRO dataset","HISTORICAL","YES historically","W05","frozen random identity concepts","source lineage","git log; results/09-formal-stagewise-random-b3; results/10-wdro-input-freeze","Later geometry/banks replace data"
"W05","Step03Z three-period consequence freeze","W_MODEL_DATA","2026-07-29","W04","HIGH","git commits 6863500/66b7fb3/9614349","preserve W1-W3 timing","aggregate loss may hide temporal information","three-period model and corrected D scaling","YES three-period model","YES D scaling","YES period-resolved DAC","YES audit runners","N/A","N/A","YES recourse input","NO","period LP/audit functions","results/27-40*","formal B3 period data","results/task-002-stage2b-b3-smoke/37-three-period-model-freeze","period model identity closed","HISTORICAL","YES method evidence","W06","period definitions and cross-checks","method history","git log; results/37-three-period-model-freeze/run-001/README.md; results/40-corrected-period-Dscale-alignment","Not current W generator"
"W06","Step04A probability-DRO feasibility","W_METHOD","2026-07-30","W05","HIGH","git commit 0911c08 and README","move from ground-cost to probability ambiguity","Wasserstein ground metric decision instability","probability-DRO feasibility formulation","YES ambiguity model","YES feasibility settings","NO","YES solver audit","N/A","N/A","YES DRO formulation","NO","probability DRO solver","results/41-probability-dro-mainline-feasibility","period consequence support","results/task-002-stage2b-b3-smoke/41-probability-dro-mainline-feasibility","probability mainline feasible","HISTORICAL","YES method transition","W07","probability ambiguity concept","direct method ancestor","git log; results/41-probability-dro-mainline-feasibility/run-003/README.md","Supersedes old ground metric line"
"W07","Step04B flat Pearson chi-square solver","W_METHOD","2026-07-31","W06","HIGH","git commit 920bc89 and README","productionize probability DRO","need scalable exact solver","flat Pearson chi-square ambiguity solver","YES DRO solver","YES eta interface","NO","YES production solver","N/A","N/A","YES Pearson DRO","NO","flat chi2 solver","results/42-flat-chi2-dro-production-solver","finite support probabilities","results/task-002-stage2b-b3-smoke/42-flat-chi2-dro-production-solver","accepted DRO method","ACCEPTED","YES","NONE","Pearson solver","active method ancestor","git log; results/42-flat-chi2-dro-production-solver/run-003/README.md","Method remains current though data changed"
"W08","C5B unified TerminalLOH economics","TERMINAL_LOH_METHOD","2026-08-02","W07","HIGH","git commit 309639d","unify objective economics","inconsistent cost interpretations","fixed c_H2 and M_H2 economics","YES recourse economics","YES cost coefficients","NO","YES analysis","N/A","N/A","YES objective","NO","TerminalLOH recourse solver","results/51-unified-economic-terminal-loh","flat chi2 consequences","results/task-002-stage2b-b3-smoke/51-unified-economic-terminal-loh","unified objective","ACCEPTED","YES","NONE","economic constants","active TerminalLOH ancestor","git log; results/51-unified-economic-terminal-loh/run-003/README.md","Current W bundle cites same constants"
"W09","C5C eta-response audit","TERMINAL_LOH_SENSITIVITY","2026-08-03","W08","HIGH","git commit 6840dcc","choose robust radius","eta saturation unknown","eta response sweep","NO","YES eta sweep","NO","YES audit","N/A","N/A","YES eta selection","NO","eta audit","results/52-eta-response-saturation-audit","unified economics","results/task-002-stage2b-b3-smoke/52-eta-response-saturation-audit","supported eta=0.03","DIAGNOSTIC_ONLY","YES conclusion","W10","eta choice evidence","active eta provenance","git log; results/52-eta-response-saturation-audit/run-003/README.md","Sweep arms are not mainline"
