problem_id,symptom,first_seen_version,root_cause,diagnosed_in_version,fixed_in_version,fix_method,regressed_later,regression_version,current_status,evidence
PF-001,hourly model routed Stage7/8 through operating builder or produced invalid terminal behavior,Stage81,dispatcher did not isolate six operating stages from analytic/absorbing boundaries,Stage81,Stage82,Stage1-6 hourly operating; Stage7 analytic TerminalLOH; Stage8 zero absorbing,NO,N/A,RESOLVED,git commit db3c55a; results/82-hourly-grid-terminal-semantics-fix/README.md; codex_rule/log.md
PF-002,Stage81 diagnostic policy appeared inconsistent after checkpoint wrapper,Stage81,diagnostic PV/orientation and wrapper identity issue rather than accepted policy mutation,Stage81 run-2/run-3 audit,Stage81 run-4 wrapper fix,preserve policy before diagnostics and separate wrapper outputs,NO,N/A,RESOLVED,git commit f84fa28; codex_rule/log.md Stage81 entries
PF-003,Stage84 OOS hourly response schema failed on empty responses,Stage84,untyped empty table/array lost the expected hourly response schema,Stage84A,Stage84A,construct typed-empty hourly schema before concatenation,NO,N/A,RESOLVED,git commit 4935f22; results/84A-oos-hourly-schema-fix; codex_rule/log.md
PF-004,Stage84B preflight/analysis failed when writing a temporary CSV with an unexpected extension,Stage84B preflight,temporary filename/extension handling in analysis tooling,Stage84B preflight,Stage84B,use an explicit valid CSV path and gate it before formal OOS,NO,N/A,RESOLVED,codex_rule/log.md Stage84B preflight records
PF-005,hourly-H2 pilot driver accessed LB(0) or equivalent value before initialization,Stage85E,eager lower-bound history access in the runner,Stage85E,Stage85E-A,initialize state and defer indexed access until a row exists,NO,N/A,RESOLVED,results/85E-A-pilot-driver-fix/run-001/README.md; codex_rule/log.md
PF-006,checkpoint written but same MATLAB process reload exhausted memory; compressed file roughly 300MB expanded to about 28.5GB,Stage85H run-001,training process still retained modelLib and then loaded another full copy/struct; checkpoint schema itself was not invalid,Stage85H-A,Stage85H-A,safe save then exit training MATLAB; new clean MATLAB loads checkpoint once; hash/cut/schema gates before next phase,YES,Stage89G run-001,RESOLVED_IN_RUN002_DESIGN,hourly_grid_h2/run_stage85h_a_checkpoint_reload_audit_h2.m; orchestrate_stage85h_hourly_htt_training_pilot.ps1; results/85H-A.../README.md; results/89G.../run-001/RECOVERED_checkpoint_reload_memory_failure.txt
PF-007,Stage85H run-002 completed science but finalizer schema failed,Stage85H run-002,report table/finalizer schema defect after training and diagnostics,Stage85H-B,Stage85H-B,report-only recovery from completed artifacts; no training or checkpoint reload,YES,Stage85L and Stage89G run-001 had different schema/index defects,RESOLVED_WITH_RECOVERY,results/85H-B-finalizer-schema-fix/run-001/README.md; codex_rule/log.md
PF-008,Stage85L finalizer failed on active numeric index,Stage85L run-001,finalizer assumed an incompatible active-index type/schema,Stage85L-A,Stage85L-A,recovery finalizer normalizes/indexes active field safely; no retraining,NO exact,N/A,RESOLVED_WITH_RECOVERY,results/85L-A-finalizer-active-fix/run-001/README.md; codex_rule/log.md
PF-009,Stage85R P150 process ended with native heap corruption and later finalizer hit pandas loc/index failure,Stage85R run-1/run-3,MATLAB native process lifetime/memory plus independent analysis index bug; completed checkpoint and OOS artifacts remained valid,Stage85R run-2/run-4,Stage85R run-3/run-5 recovery,separate -nojvm phase processes; never retrain valid P150; recovery finalizer reads completed run-3,NO,N/A,RESOLVED_WITH_RECOVERY,hourly_grid_h2/orchestrate_stage85r_dro_p150_p200_5h_10k.ps1; results/85R.../run-005/README.md; codex_rule/log.md
PF-010,Stage89C/89D Stage1 production flattened at 90.09kg and formal-looking results used the wrong time scale,Stage89C,Stage89B bridge was combined with legacy defaults: enable_hourly_grid=false; params.dt_h=6; aggregate builder; MAT stage_dt_h=6 inherited as runtime,Stage89E,Stage89F,isolated current options/loader force dt_h=8 and all hourly flags; original hourly demand; 120.12kg sentinel/preflight,POSSIBLE,any future launcher inheriting legacy defaults,RESOLVED_FOR_CURRENT_ENTRY,results/89E-stage1-90p09-production-source-audit/run-001/README.md; fa_msp/current_hourly_stage88_candidate/config/current_hourly_stage88_candidate_options_h2.m; input/load_current_hourly_stage88_candidate_h2.m
PF-011,FA-MSP continued to load Stage53 TerminalLOH even after Stage88 W mainline existed,Stage89A integration audit,W bundle and FA-MSP loader lineage had evolved independently; no Stage88 bridge was active,Stage89A,Stage89B,strict 35x4 Stage88 DRO table loader plus identity/SHA gates,NO in current bundle,N/A,RESOLVED_FOR_CURRENT_ENTRY,terminalLoh_wdro/current_w_mainline_stage88/msp_bridge/README_MSP_BRIDGE.md; results/89A.../README.md; results/89B.../README.md
PF-012,Site4 tank stayed 150kg while current W/TerminalLOH candidate assumed CAP200,Stage89A integration audit,legacy NearStageInput capacity was not synchronized when Stage88 tables were built,Stage89A,Stage89B,candidate MAT changes Site4 tank 150 to200 only; Pmax remains150kW; loader asserts [300 200 100 200],NO in current bundle,N/A,RESOLVED_FOR_CURRENT_ENTRY,Stage89A/89B READMEs; fa_msp/current_hourly_stage88_candidate/input/load_current_hourly_stage88_candidate_h2.m
PF-013,hourly H2 model initially used block-uniform demand and could be mistaken for original-hourly demand,Stage85I,six-hour stage_template was divided uniformly; original hourly_kg profile was not used,Stage85J,Stage85K,read original 24h hourly_kg directly and repeat to48h; set demand_schema identity,NO in current bundle,N/A,RESOLVED,results/85J-hourly-demand-source-audit/run-001/README.md; results/85K-original-hourly-demand-integration/run-001/README.md
PF-014,result directory name says converged although fixed-budget training did not establish convergence,Stage57,naming/documentation overstates stop_flag/fixed-budget evidence,Stage57 audit/log,N/A,treat as historical fixed-budget only; do not rename immutable history,NO,N/A,DOCUMENTATION_CODE_MISMATCH_REGISTERED,results/57-main-msp-converged-terminal-loh-ab/run-003/README.md; codex_rule/log.md
PF-015,Stage89G training table creation failed with duplicate stage1_production_kg column,Stage89G run-001-failed-schema,training_names generated a duplicate stage1 field after the base columns already contained it,Stage89G archived FAILURE,Stage89G run-002 source,generate stage2-stage6 production fields only and gate ten-row table,NO observed in static run-002 artifacts,N/A,RESOLVED_IN_SOURCE,results/89G.../run-001-failed-schema-20260820-190258/FAILURE.txt; run_current_hourly_stage88_dro_baseline_h2.m training_names
PF-016,Stage89G checkpoint boundary perceived as slow,Stage89G,UNCERTAIN: save -v7.3; whos inventory; full SHA-256; and clean reload are distinct costs; archived failure proves OOM at load not slow save,version audit,N/A,measure and record per-phase save/hash/reload elapsed separately; do not infer from wall-clock wait,UNCERTAIN,N/A,OPEN_UNCERTAIN,Stage89G source save_checkpoint_safe_run002 and sha256_file; archived RECOVERED_checkpoint_reload_memory_failure.txt; no high-frequency runtime log read
PF-017,Stage89G frozen commit gate cannot freeze the runner bytes,Stage89G run-002,Stage89G and Stage85H/85R source files are untracked at HEAD db532c4; git rev-parse HEAD only identifies tracked tree,version audit,N/A,future acceptance needs committed sources or a source manifest/hash gate; this audit performs no Git writes,NO,N/A,OPEN_REPRODUCIBILITY_GAP,git status --short for fa_msp/current_hourly_stage88_candidate and hourly_grid_h2 Stage85H/85R files; Stage89G orchestrator frozen HEAD check; source SHA list in audit
