path_id,relative_hour,previous_physically_unrecoverable,current_inventory_kg,current_production_kg,current_ordinary_demand_kg,current_ordinary_served_kg,target_total,failure_type,remaining_hours,known_remaining_ordinary_demand_kg,optimistic_margin_kg,recomputed_physically_unrecoverable,checkpoint_present,recomputed_status,path_status_match
11,-16,False,251.186343625,15.015,1.54554668825,1.54554668825,395.525364721,pure_location,16,98.5039340683,95.9009789034,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
11,-8,False,371.306343625,15.015,12.6236463422,0,395.525364721,pure_location,8,59.4930059307,95.9009789034,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
11,-4,False,415.332527527,15.015,5.2829583731,3.0925444568,395.525364721,pure_location,4,33.3106263059,79.8671628061,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
16,-16,False,241.507481134,8.775,12.6236463422,12.6236463422,395.525364721,pure_location,16,104.989071862,86.2221164131,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
16,-8,False,302.134475204,15.015,10.3027948716,10.3027948716,395.525364721,pure_location,8,45.4960659317,26.7291104824,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
16,-4,False,360.901906248,13.7224310439,5.21888439962,0,395.525364721,pure_location,4,8.99688639124,25.4365415263,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
24,-16,False,302.134475204,15.015,10.3027948716,10.3027948716,386.76593055,pure_location,16,84.5069940693,155.608544654,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
24,-8,False,388.994224464,15.015,1.54554668825,1.08007613984,386.76593055,pure_location,8,39.0109281376,122.348293914,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
24,-4,False,444.182953706,15.015,1.54554668825,1.28481315792,386.76593055,pure_location,4,32.8359897274,117.477023156,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
55,-16,False,182.014475204,0,10.3027948716,10.3027948716,316.940731494,mixed,16,84.5069940693,105.31374371,False,True,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,True
55,-8,True,154.458409272,15.015,1.54554668825,1.54554668825,316.940731494,mixed,8,39.0109281376,-42.3623222219,True,True,PHYSICALLY_UNRECOVERABLE,True
